date;ticker;family;group_col;quote;yield_val;duration;convexity
05-03-2025;BCHICE1215;BE;BE;101,1592659;0,0304;6,094333108;43,1198869
05-03-2025;BCHICF0815;BE;BE;100,7175459;0,0303;6,264154564;45,26600093
05-03-2025;BCHICG0815;BE;BE;101,1205111;0,0297;6,66904654;51,16066281
05-03-2025;BCHICH1215;BE;BE;101,6394939;0,0297;6,901169289;54,94786192
05-03-2025;BCHICI0815;BE;BE;101,8335785;0,0297;7,049674015;57,11444284
05-03-2025;BCHICJ1215;BE;BE;100,400703;0,0326;7,256536701;60,4820573
05-03-2025;BCHICK0815;BE;BE;99,80909427;0,0327;7,423551221;62,92585703
05-03-2025;BCHICL1015;BE;BE;100,838673;0,0327;7,471984111;64,4032974
05-03-2025;BCHICM1215;BE;BE;100,2784524;0,0327;7,639107399;66,9280195
05-03-2025;BCHICN0815;BE;BE;99,86938583;0,0325;7,809631366;69,58302447
05-03-2025;BCHICO1215;BE;BE;100,5483071;0,0323;8,016509036;73,69117256
05-03-2025;BCHICP0815;BE;BE;100,1482259;0,0322;8,184610214;76,41436679
05-03-2025;BCHICQ1015;BE;BE;101,2834411;0,0321;8,22215946;77,94355989
05-03-2025;BCHICR1215;BE;BE;101,0254509;0,0317;8,392071755;80,80293969
06-01-2025;BCHICA1015;BE;BE;99,88786148;0,0318;5,269878297;32,53134175
06-01-2025;BCHICB1215;BE;BE;100,1703925;0,0313;5,424993249;34,30144025
06-01-2025;BCHICC0815;BE;BE;100,7974586;0,032;5,50935428;35,61156678
06-01-2025;BCHICD0815;BE;BE;101,0649551;0,0315;5,916807988;40,86413561
06-01-2025;BCHICE1215;BE;BE;99,89960894;0,0317;6,250018941;44,97489406
06-01-2025;BCHICF0815;BE;BE;100,9179848;0,0316;6,323266234;46,44953887
06-01-2025;BCHICG0815;BE;BE;101,3460536;0,031;6,721687689;52,35571161
06-01-2025;BCHICH1215;BE;BE;100,573846;0,0306;7,056805955;57,05698617
06-01-2025;BCHICI0815;BE;BE;102,7387254;0,03;7,097409667;58,44094092
